code_postale;nom_commune
25650;ville du pont
25640;villers grelot
25310;villars les blamont
25240;les villedieu
25170;villers buzon
25510;villers la combe
25270;villers sous chalamont
25420;voujeaucourt
2860;bouconville vauclair
2400;bouresches
2240;brissy hamegicourt
2810;brumetz
2360;brunehamel
2880;bucy le long
2300;caillouel crepigny
2300;camelin
2860;cerny en laonnois
2000;chambry
2340;chaourse
2800;charmes
2200;chaudun
2300;chauny
2810;chezy en orxois
2000;chivy les etouvelles
2220;ciry salsogne
2440;clastres
2860;montchalons
2860;monthenault
2810;montigny l allier
2290;montigny lengrain
2220;mont notre dame
2360;mont st jean
2210;muret et crouttes
2400;nesles la montagne
2190;neufchatel sur aisne
2170;le nouvion en thierache
2300;ognes
2190;orainville
2290;osly courtil
2860;pancy courtecon
2260;papleux
2210;parcy et tigny
2840;parfondru
2330;pargny la dhuys
2270;pargny les bois
2240;parpeville
2540;viffort
2130;villeneuve sur fere
2590;villers st christophe
2500;wimy
5800;st firmin
2250;bosmont sur serre
2160;bouffignereux
2300;bourguignon sous coucy
2320;brancourt en laonnois
2000;braye en laonnois
2220;brenelle
2870;brie
2860;bruyeres et montberault
2300;camelin
2680;castres
2000;chaillevois
7190;albon d ardeche
2370;chassemy
2400;chateau thierry
7100;annonay
2270;chatillon les sons
2240;chatillon sur oise
2220;chery chartreuve
7140;les assions
2000;chery les pouilly
7190;beauvene
2120;chigny
2250;cilly
7150;bessas
7100;boulieu les annonay
7000;freyssenet
7140;gravieres
7110;laurac en vivarais
7140;malarce sur la thines
7190;marcols les eaux
7110;montreal
7160;belsentes
7110;prunet
7110;rocher
7120;st alban auriolles
7120;st alban auriolles
7190;st etienne de serre
7190;st genest lachamp
7190;st maurice en chalencon
7130;st peray
7130;st romain de lerps
7120;sampzon
7110;sanilhac
7130;soyons
2110;montbrehain
2440;montescourt lizerolles
7150;vallon pont d arc
2330;montigny les conde
7140;les vans
2250;montigny sous marle
2340;montloue
2400;mont st pere
7170;villeneuve de berg
2600;mortefontaine
2200;nampteuil sous muret
2300;neuflieux
2470;neuilly st front
2150;nizy le comte
2600;noroy sur ourcq
2270;nouvion et catillon
2500;ohis
2850;passy sur marne
2200;pernant
2130;villers agron aiguizy
2120;wiege faty
9600;aigues vives
9310;albies
9240;alzen
9800;antras
9250;appy
9400;arnave
9800;arrien en bethmale
9310;aston
9230;barjac
9100;benagues
9500;besset
9250;bestiac
9160;betchat
9100;bezac
9800;bonac irazein
9310;bouan
9320;boussenac
9000;burret
9120;calzan
9300;carla de roquefort
9420;castelnau durban
9130;casteras
9350;castex
9120;cazaux
5800;st maurice en valgodemard
7110;chassiers
7110;chazeaux
7130;cornas
7000;coux
7170;darbres
7160;dornas
7110;largentiere
7160;mariac
7140;montselgues
7000;privas
7110;rocles
7160;st cierge sous le cheylard
7100;st marcel les annonay
7140;st pierre st jean
7190;st pierreville
7140;les vans
39270;alieze
39240;arinthod
39210;arlay
39270;la chailleuse
